date,grade,probability_of_default,score,trend,reason_code,reason_description,fullname,phonenumber,idnumber,idNumberType,dateOfBirth
2020-10-30T21:00:00+00:00,XX,100.00,999,Up,MSM5,,Ally Hassan Mwinyi,0789372179,12345678,VotersID,1996-01-10T21:00:00Z
2020-10-30T21:00:00+00:00,XX,100.00,999,Up,AGE2,,Ally Hassan Mwinyi,0789372179,12345678,VotersID,1996-01-10T21:00:00Z
2020-09-29T21:00:00+00:00,E3,100.00,250,NoChange,HMP1,,Ally Hassan Mwinyi,0789372179,12345678,VotersID,1996-01-10T21:00:00Z
2020-09-29T21:00:00+00:00,E3,100.00,250,NoChange,LWM1,,Ally Hassan Mwinyi,0789372179,12345678,VotersID,1996-01-10T21:00:00Z
2020-09-29T21:00:00+00:00,E3,100.00,250,NoChange,MSM4,,Ally Hassan Mwinyi,0789372179,12345678,VotersID,1996-01-10T21:00:00Z
2020-09-29T21:00:00+00:00,E3,100.00,250,NoChange,AGE2,,Ally Hassan Mwinyi,0789372179,12345678,VotersID,1996-01-10T21:00:00Z
2020-08-30T21:00:00+00:00,E3,100.00,250,NoChange,HMP1,,Ally Hassan Mwinyi,0789372179,12345678,VotersID,1996-01-10T21:00:00Z
2020-08-30T21:00:00+00:00,E3,100.00,250,NoChange,LWM1,,Ally Hassan Mwinyi,0789372179,12345678,VotersID,1996-01-10T21:00:00Z
2020-08-30T21:00:00+00:00,E3,100.00,250,NoChange,MSM4,,Ally Hassan Mwinyi,0789372179,12345678,VotersID,1996-01-10T21:00:00Z
2020-08-30T21:00:00+00:00,E3,100.00,250,NoChange,AGE2,,Ally Hassan Mwinyi,0789372179,12345678,VotersID,1996-01-10T21:00:00Z
2020-07-30T21:00:00+00:00,E3,100.00,250,NoChange,HMP1,,Ally Hassan Mwinyi,0789372179,12345678,VotersID,1996-01-10T21:00:00Z
2020-07-30T21:00:00+00:00,E3,100.00,250,NoChange,LWM1,,Ally Hassan Mwinyi,0789372179,12345678,VotersID,1996-01-10T21:00:00Z
2020-07-30T21:00:00+00:00,E3,100.00,250,NoChange,MSM4,,Ally Hassan Mwinyi,0789372179,12345678,VotersID,1996-01-10T21:00:00Z
2020-07-30T21:00:00+00:00,E3,100.00,250,NoChange,AGE2,,Ally Hassan Mwinyi,0789372179,12345678,VotersID,1996-01-10T21:00:00Z
2020-07-30T21:00:00+00:00,E3,100.00,250,NoChange,NQS3,,Ally Hassan Mwinyi,0789372179,12345678,VotersID,1996-01-10T21:00:00Z
2020-06-29T21:00:00+00:00,E3,100.00,250,NoChange,HMP1,,Ally Hassan Mwinyi,0789372179,12345678,VotersID,1996-01-10T21:00:00Z
2020-06-29T21:00:00+00:00,E3,100.00,250,NoChange,LWM1,,Ally Hassan Mwinyi,0789372179,12345678,VotersID,1996-01-10T21:00:00Z
2020-06-29T21:00:00+00:00,E3,100.00,250,NoChange,MSM4,,Ally Hassan Mwinyi,0789372179,12345678,VotersID,1996-01-10T21:00:00Z
2020-06-29T21:00:00+00:00,E3,100.00,250,NoChange,AGE2,,Ally Hassan Mwinyi,0789372179,12345678,VotersID,1996-01-10T21:00:00Z
2020-06-29T21:00:00+00:00,E3,100.00,250,NoChange,NQS3,,Ally Hassan Mwinyi,0789372179,12345678,VotersID,1996-01-10T21:00:00Z
2020-05-30T21:00:00+00:00,E3,100.00,250,NoChange,HMP1,,Ally Hassan Mwinyi,0789372179,12345678,VotersID,1996-01-10T21:00:00Z
2020-05-30T21:00:00+00:00,E3,100.00,250,NoChange,LWM1,,Ally Hassan Mwinyi,0789372179,12345678,VotersID,1996-01-10T21:00:00Z
2020-05-30T21:00:00+00:00,E3,100.00,250,NoChange,MSM4,,Ally Hassan Mwinyi,0789372179,12345678,VotersID,1996-01-10T21:00:00Z
2020-05-30T21:00:00+00:00,E3,100.00,250,NoChange,AGE2,,Ally Hassan Mwinyi,0789372179,12345678,VotersID,1996-01-10T21:00:00Z
2020-05-30T21:00:00+00:00,E3,100.00,250,NoChange,NQS2,,Ally Hassan Mwinyi,0789372179,12345678,VotersID,1996-01-10T21:00:00Z
2020-04-29T21:00:00+00:00,E3,100.00,250,NoChange,HMP1,,Ally Hassan Mwinyi,0789372179,12345678,VotersID,1996-01-10T21:00:00Z
2020-04-29T21:00:00+00:00,E3,100.00,250,NoChange,LWM1,,Ally Hassan Mwinyi,0789372179,12345678,VotersID,1996-01-10T21:00:00Z
2020-04-29T21:00:00+00:00,E3,100.00,250,NoChange,MSM4,,Ally Hassan Mwinyi,0789372179,12345678,VotersID,1996-01-10T21:00:00Z
2020-04-29T21:00:00+00:00,E3,100.00,250,NoChange,AGE2,,Ally Hassan Mwinyi,0789372179,12345678,VotersID,1996-01-10T21:00:00Z
2020-04-29T21:00:00+00:00,E3,100.00,250,NoChange,NQS2,,Ally Hassan Mwinyi,0789372179,12345678,VotersID,1996-01-10T21:00:00Z
2020-03-30T21:00:00+00:00,E3,100.00,250,NoChange,HMP1,,Ally Hassan Mwinyi,0789372179,12345678,VotersID,1996-01-10T21:00:00Z
2020-03-30T21:00:00+00:00,E3,100.00,250,NoChange,LWM1,,Ally Hassan Mwinyi,0789372179,12345678,VotersID,1996-01-10T21:00:00Z
2020-03-30T21:00:00+00:00,E3,100.00,250,NoChange,MSM3,,Ally Hassan Mwinyi,0789372179,12345678,VotersID,1996-01-10T21:00:00Z
2020-03-30T21:00:00+00:00,E3,100.00,250,NoChange,NQS1,,Ally Hassan Mwinyi,0789372179,12345678,VotersID,1996-01-10T21:00:00Z
2020-03-30T21:00:00+00:00,E3,100.00,250,NoChange,AGE2,,Ally Hassan Mwinyi,0789372179,12345678,VotersID,1996-01-10T21:00:00Z
2020-02-28T21:00:00+00:00,E3,100.00,250,Up,HMP1,,Ally Hassan Mwinyi,0789372179,12345678,VotersID,1996-01-10T21:00:00Z
2020-02-28T21:00:00+00:00,E3,100.00,250,Up,LWM1,,Ally Hassan Mwinyi,0789372179,12345678,VotersID,1996-01-10T21:00:00Z
2020-02-28T21:00:00+00:00,E3,100.00,250,Up,MSM3,,Ally Hassan Mwinyi,0789372179,12345678,VotersID,1996-01-10T21:00:00Z
2020-02-28T21:00:00+00:00,E3,100.00,250,Up,NQS1,,Ally Hassan Mwinyi,0789372179,12345678,VotersID,1996-01-10T21:00:00Z
2020-02-28T21:00:00+00:00,E3,100.00,250,Up,AGE2,,Ally Hassan Mwinyi,0789372179,12345678,VotersID,1996-01-10T21:00:00Z
